ts_ns,pid,latency_ns
148170921501,229,0
148170929781,963,0
148170950071,959,2683860
148171053819,960,0
148172311239,16,7789
148172318788,43,499590
148172404471,959,1009516
148172469853,961,0
148173511849,55,405847
148173541212,43,4662
148173692066,959,869989
148174410620,43,432524
148174490809,959,0
148174549875,962,0
148175875655,229,652018
148175898933,959,963742
148175947945,963,54355
148176489439,43,6817
148176573277,959,299905
148176608694,963,0
148177645518,959,782101
148177689296,963,0
148177949071,959,5474
148177976168,961,0
148178505612,959,231795
148178537140,960,0
148178798840,959,5404
148178825566,961,0
148179297217,959,189330
148179328404,960,0
148179610183,959,5674
148179641651,963,0
148179900704,959,5353
148179927350,960,0
148180409136,959,192157
148180440504,963,0
148180733030,959,6677
148180765260,962,0
148181041335,959,5283
148181068111,962,0
148181542198,959,193741
148181573465,963,0
148181837451,959,6597
148181869921,961,0
148182355747,959,188317
148182403104,960,0
148182663310,959,5273
148182684062,961,0
148182948688,959,5473
148182969620,962,0
148183448669,959,189831
148183476428,960,0
148183735882,959,5434
148183756734,961,0
148184027405,959,5343
148184048398,963,0
148184555927,43,6516
148184653589,960,0
148186294963,963,0
148186344566,25,5363
148186582386,963,0
148186598265,229,4751
148187473868,963,0
148187493206,959,3157846
148187538719,962,0
148187561416,961,0
148202127113,25,15202387
148202151895,229,0
148202330839,16,216628
148202340343,960,0
148203121782,229,409356
148203175545,43,4280
148203254180,25,551608
148203292205,960,0
148204381458,43,426087
148204472694,960,0
148205735298,55,422719
148205766796,43,3388
148205909711,55,0
148205916899,960,0
148206704563,43,450588
148206802617,960,0
148207928050,229,422449
148207957463,960,0
148222195978,16,12250
148222207978,959,19500073
148222408636,962,19120511
148223254485,229,11388
148223446933,963,20165204
148223464436,962,0
148224447295,43,7819
148224455165,229,531018
148224481450,43,2937
148225291029,962,0
148225306788,25,6325
148225350347,11,38656
148225355299,962,0
148225360692,959,2648152
148225456390,961,0
148226815884,43,546396
148226947711,959,1135568
148227026186,961,0
148228867721,16,13043
148228877705,43,473976
148229033642,55,639948
148230006031,43,7208
148230869514,55,0
148230879458,962,1360606
148230906405,959,3370971
148231014654,961,0
148232299061,229,521304
148232502185,963,184157
148233298191,11,694163
148233465265,25,158343
148233471280,229,615467
148233499440,43,3569
148234311094,963,0
148234334432,25,5864
148234347495,963,0
148234354342,962,2040203
148234360888,959,3003835
148234465929,961,0
148235482742,43,418218
148235567954,959,783645
148235610349,961,0
148236623012,55,439581
148236657808,43,4010
148236825905,55,0
148236835429,959,944604
148237762390,43,514227
148237889726,959,0
148237980631,960,0
148239564813,16,11569
148239576682,229,617352
148239603268,962,10697
148239665142,43,6055
148239792137,962,0
148239801009,963,203265
148239821500,959,1394571
148239913007,961,0
148241283919,16,9253
148241295839,43,661472
148241410393,962,789439
148241450412,25,6326
148241513609,11,58295
148241518541,962,0
148241530451,959,1260178
148241602139,960,0
148242018622,959,105050
148242698961,43,236948
